ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1763459261.7010615,d4pg_demo,FAR,demo,1,0,-2.110163029478217,0,0,0,-0.264,0.101,0.208,-0.2730064,-0.44075,-2.3871195,0.10954659,-1.8586916,2.2978241,0.0,0.0,0.0,0.7012019157409668,0.7012019157409668,link6
1763459265.3451505,d4pg_demo,FAR,demo,2,0,-7.4810712193408415,0,0,0,-0.586,0.065,1.098,-0.06610893,-0.14062189,-0.8012028,0.15792623,-0.6369439,0.6988894,0.0,0.0,0.0,0.7303957939147949,0.7303957939147949,link6
1763459268.9928408,d4pg_demo,FAR,demo,3,0,-3.1088343569307453,0,0,0,-0.442,0.153,0.221,-0.23897651,-0.3827724,-2.0826006,-0.046264417,-1.3478687,1.9390101,0.0,0.0,0.0,0.6917997598648071,0.6917997598648071,link6
1763459272.6259592,d4pg_demo,FAR,demo,4,0,-8.114687590917514,0,0,0,-0.35,0.043,1.305,-0.014015302,-0.06392264,-0.39536667,0.028654188,-0.31173468,0.36225984,0.0,0.0,0.0,0.7165564894676208,0.7165564894676208,link6
1763459276.2685907,d4pg_demo,FAR,demo,5,0,-5.2641761969105865,0,0,0,-0.672,0.037,0.562,-0.050132573,-0.252637,-1.6168007,0.3206381,-1.291318,1.4493641,0.0,0.0,0.0,0.7319638133049011,0.7319638133049011,link6
1763459279.9026124,d4pg_demo,FAR,demo,6,0,-1.78479103174497,0,0,0,-0.223,0.055,0.188,-0.12409847,-0.36835736,-2.5016146,0.092775136,-1.5811034,2.0645502,0.0,0.0,0.0,0.7152991890907288,0.7152991890907288,link6
1763459283.5578682,d4pg_demo,FAR,demo,7,0,-7.648120226137609,0,0,0,-0.584,-0.126,1.126,0.22996356,-0.17043114,-0.6849741,0.59048,-0.43608952,0.45496544,0.0,0.0,0.0,1.1667927503585815,1.1667927503585815,link6
1763459287.2010155,d4pg_demo,FAR,demo,8,0,-2.321885581794971,0,0,0,-0.309,0.098,0.21,-0.1840043,-0.42031965,-2.3498878,-0.019077193,-1.7952095,2.2569473,0.0,0.0,0.0,0.7031701803207397,0.7031701803207397,link6
1763459290.8366683,d4pg_demo,FAR,demo,9,0,-7.539476497340072,0,0,0,-0.569,0.04,1.119,-0.01443494,-0.116990834,-0.7183684,0.114209265,-0.5620738,0.64519227,0.0,0.0,0.0,0.7261595129966736,0.7261595129966736,link6
1763459294.4740732,d4pg_demo,FAR,demo,10,0,-4.372352659856711,0,0,0,-0.572,0.349,0.285,-0.5101612,-0.39533997,-1.9740902,-0.08772162,-0.40003094,1.249837,0.0,0.0,0.0,0.7287131547927856,0.7287131547927856,link6
