ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1763432571.8601465,d4pg_demo,FAR,demo,1,0,-8.337828684582055,0,0,0,-0.187,0.024,1.376,0.073996976,-0.108325936,-0.045902297,0.05380803,-0.24555697,-0.20670708,0.0,0.0,0.0,0.6971193552017212,0.6971193552017212,link6
1763432573.245937,d4pg_demo,FAR,demo,1,1,-8.355051290871685,0,0,0,-0.158,0.011,1.381,0.16493124,-0.12542832,0.046841357,0.08179388,-0.27980325,-0.47387978,0.0,0.0,0.0,0.5826886892318726,0.5826886892318726,link6
1763432574.6251721,d4pg_demo,FAR,demo,1,2,-8.351517625191667,0,0,0,-0.154,0.002,1.381,0.21629028,-0.15085839,0.101455994,0.105732925,-0.2976828,-0.60056823,0.0,0.0,0.0,0.586755096912384,0.586755096912384,link6
1763432576.0025492,d4pg_demo,FAR,demo,1,3,-8.35815416724649,0,0,0,-0.085,0.015,1.388,0.22975148,-0.06231643,0.04858022,0.1487812,-0.30108014,-0.51834834,0.0,0.0,0.0,0.5873333215713501,0.5873333215713501,link6
1763432577.3849819,d4pg_demo,FAR,demo,1,4,-8.360842104744458,0,0,0,-0.085,0.02,1.388,0.18413626,-0.071504205,0.06699284,0.10763514,-0.29976052,-0.49760765,0.0,0.0,0.0,0.5721264481544495,0.5721264481544495,link6
1763432581.0390174,d4pg_demo,FAR,demo,2,0,-8.364728162173536,0,0,0,-0.147,0.013,1.385,0.17306548,-0.1298671,0.055432275,0.04262496,-0.18610804,-0.3847892,0.0,0.0,0.0,0.6477437019348145,0.6477437019348145,link6
1763432582.504836,d4pg_demo,FAR,demo,2,1,-8.361485221587925,0,0,0,-0.146,0.009,1.384,0.18811922,-0.12148784,0.055845402,0.10439899,-0.23749322,-0.44388244,0.0,0.0,0.0,0.6098315119743347,0.6098315119743347,link6
1763432583.8965042,d4pg_demo,FAR,demo,2,2,-8.36248051559984,0,0,0,-0.111,0.013,1.387,0.20460254,-0.092566095,0.057127777,0.12369765,-0.2655665,-0.4729585,0.0,0.0,0.0,0.5913830995559692,0.5913830995559692,link6
1763432585.2954867,d4pg_demo,FAR,demo,2,3,-8.358798618370514,0,0,0,-0.084,0.022,1.388,0.16312309,-0.074785024,0.070729345,0.096269414,-0.28747785,-0.48526987,0.0,0.0,0.0,0.5841824412345886,0.5841824412345886,link6
1763432586.6746888,d4pg_demo,FAR,demo,2,4,-8.357373857902369,0,0,0,-0.084,0.019,1.388,0.21292895,-0.07149176,0.065155335,0.09901598,-0.28151166,-0.4853998,0.0,0.0,0.0,0.592505693435669,0.592505693435669,link6
1763432590.3371682,d4pg_demo,FAR,demo,3,0,-8.361404125321592,0,0,0,-0.128,0.021,1.386,0.13281697,-0.120140545,0.06842045,0.05834885,-0.202933,-0.39356586,0.0,0.0,0.0,0.6312687397003174,0.6312687397003174,link6
1763432591.7270575,d4pg_demo,FAR,demo,3,1,-8.360071119471277,0,0,0,-0.154,0.007,1.383,0.19648665,-0.12950723,0.057770863,0.107137665,-0.24301805,-0.44982812,0.0,0.0,0.0,0.6148887276649475,0.6148887276649475,link6
1763432593.1077394,d4pg_demo,FAR,demo,3,2,-8.362240713101336,0,0,0,-0.096,0.013,1.388,0.23278247,-0.07580858,0.052266423,0.118226804,-0.26815283,-0.48045707,0.0,0.0,0.0,0.5879510045051575,0.5879510045051575,link6
1763432594.4893012,d4pg_demo,FAR,demo,3,3,-8.36012675015425,0,0,0,-0.085,0.025,1.388,0.13672653,-0.07737725,0.0758955,0.086912476,-0.28387257,-0.46797696,0.0,0.0,0.0,0.5797402858734131,0.5797402858734131,link6
1763432595.8686998,d4pg_demo,FAR,demo,3,4,-8.358073459622853,0,0,0,-0.116,0.013,1.386,0.19713293,-0.09841693,0.06268382,0.10333673,-0.2767176,-0.48103243,0.0,0.0,0.0,0.5980783700942993,0.5980783700942993,link6
1763432599.546974,d4pg_demo,FAR,demo,4,0,-8.363697185688673,0,0,0,-0.133,0.02,1.386,0.13698198,-0.12491623,0.066255234,0.045464296,-0.19195536,-0.38134047,0.0,0.0,0.0,0.6361340880393982,0.6361340880393982,link6
1763432600.9343116,d4pg_demo,FAR,demo,4,1,-8.35877717943662,0,0,0,-0.143,0.008,1.384,0.2003945,-0.12212147,0.05615104,0.106862776,-0.23820548,-0.44436768,0.0,0.0,0.0,0.6172411441802979,0.6172411441802979,link6
1763432602.3149621,d4pg_demo,FAR,demo,4,2,-8.355737394735016,0,0,0,-0.169,-0.001,1.38,0.21401916,-0.14194383,0.056747913,0.13996471,-0.2635537,-0.47535518,0.0,0.0,0.0,0.5886948108673096,0.5886948108673096,link6
1763432603.7040703,d4pg_demo,FAR,demo,4,3,-8.356584356156457,0,0,0,-0.073,0.024,1.388,0.14901105,-0.06757281,0.07751229,0.11511936,-0.30898628,-0.52056694,0.0,0.0,0.0,0.5755213499069214,0.5755213499069214,link6
1763432605.089506,d4pg_demo,FAR,demo,4,4,-8.355913994740353,0,0,0,-0.096,0.017,1.387,0.19891337,-0.08057156,0.064257756,0.11053273,-0.295025,-0.5079921,0.0,0.0,0.0,0.5923389792442322,0.5923389792442322,link6
1763432608.746787,d4pg_demo,FAR,demo,5,0,-8.362560259078192,0,0,0,-0.132,0.018,1.386,0.15749091,-0.12134794,0.060818586,0.063322864,-0.2113893,-0.41428724,0.0,0.0,0.0,0.6409043073654175,0.6409043073654175,link6
1763432610.1296127,d4pg_demo,FAR,demo,5,1,-8.361036348388472,0,0,0,-0.145,0.008,1.384,0.19674134,-0.12085563,0.055133607,0.10820551,-0.24886851,-0.4589274,0.0,0.0,0.0,0.6079348921775818,0.6079348921775818,link6
1763432611.5179105,d4pg_demo,FAR,demo,5,2,-8.358766025919744,0,0,0,-0.137,0.008,1.384,0.20255311,-0.11223195,0.053476565,0.1233288,-0.27043137,-0.48105422,0.0,0.0,0.0,0.5875076055526733,0.5875076055526733,link6
1763432612.8974211,d4pg_demo,FAR,demo,5,3,-8.359816809327105,0,0,0,-0.086,0.021,1.388,0.17141083,-0.07547176,0.07182495,0.106339395,-0.2958516,-0.506248,0.0,0.0,0.0,0.581615149974823,0.581615149974823,link6
1763432614.280672,d4pg_demo,FAR,demo,5,4,-8.355921529021735,0,0,0,-0.109,0.015,1.386,0.19459298,-0.0919348,0.063573204,0.109253466,-0.28767714,-0.49750113,0.0,0.0,0.0,0.5895484089851379,0.5895484089851379,link6
1763432617.9321015,d4pg_demo,FAR,demo,6,0,-8.365287499420308,0,0,0,-0.136,0.019,1.386,0.14037612,-0.124659285,0.06517242,0.053810593,-0.19809493,-0.39211878,0.0,0.0,0.0,0.636879026889801,0.636879026889801,link6
1763432619.308248,d4pg_demo,FAR,demo,6,1,-8.35970767848953,0,0,0,-0.144,0.008,1.384,0.20097312,-0.120430425,0.05653089,0.10973983,-0.2436299,-0.45184323,0.0,0.0,0.0,0.614296555519104,0.614296555519104,link6
1763432620.6884923,d4pg_demo,FAR,demo,6,2,-8.353042080425594,0,0,0,-0.165,-0.0,1.38,0.21121836,-0.13876316,0.058174457,0.13914242,-0.2675981,-0.48024598,0.0,0.0,0.0,0.5873338580131531,0.5873338580131531,link6
1763432622.0674214,d4pg_demo,FAR,demo,6,3,-8.359345679331671,0,0,0,-0.082,0.023,1.388,0.15226413,-0.07203851,0.075958274,0.11543713,-0.3087045,-0.52117085,0.0,0.0,0.0,0.5764558911323547,0.5764558911323547,link6
1763432623.4689941,d4pg_demo,FAR,demo,6,4,-8.359396189858787,0,0,0,-0.071,0.021,1.389,0.21679549,-0.059618607,0.06405894,0.10938744,-0.29494283,-0.5099481,0.0,0.0,0.0,0.5909743309020996,0.5909743309020996,link6
1763432627.131506,d4pg_demo,FAR,demo,7,0,-8.362574766535927,0,0,0,-0.143,0.015,1.385,0.16291405,-0.12750603,0.06003941,0.06326966,-0.21115893,-0.41988197,0.0,0.0,0.0,0.64486163854599,0.64486163854599,link6
1763432628.5285175,d4pg_demo,FAR,demo,7,1,-8.356963014471905,0,0,0,-0.138,0.009,1.384,0.19732808,-0.11566632,0.055674396,0.111093484,-0.25104338,-0.46434218,0.0,0.0,0.0,0.6065321564674377,0.6065321564674377,link6
1763432629.9218063,d4pg_demo,FAR,demo,7,2,-8.361983753733735,0,0,0,-0.109,0.012,1.387,0.21424262,-0.08834635,0.055607166,0.121490605,-0.27379546,-0.48552945,0.0,0.0,0.0,0.5877072215080261,0.5877072215080261,link6
1763432631.3006706,d4pg_demo,FAR,demo,7,3,-8.358027445409641,0,0,0,-0.08,0.024,1.388,0.15505561,-0.072775945,0.07275219,0.09452198,-0.2882134,-0.48507616,0.0,0.0,0.0,0.5811595320701599,0.5811595320701599,link6
1763432632.684434,d4pg_demo,FAR,demo,7,4,-8.356628274319823,0,0,0,-0.112,0.014,1.386,0.1985242,-0.09391822,0.061563037,0.10250365,-0.27956912,-0.4854089,0.0,0.0,0.0,0.5944727063179016,0.5944727063179016,link6
1763432636.3342712,d4pg_demo,FAR,demo,8,0,-8.363380287820867,0,0,0,-0.144,0.017,1.385,0.15372701,-0.13059917,0.06124886,0.040130008,-0.18614158,-0.38153452,0.0,0.0,0.0,0.6442402005195618,0.6442402005195618,link6
1763432637.7236025,d4pg_demo,FAR,demo,8,1,-8.359667714078178,0,0,0,-0.144,0.008,1.384,0.1988389,-0.11806252,0.05357347,0.11081112,-0.240405,-0.44912028,0.0,0.0,0.0,0.6146692633628845,0.6146692633628845,link6
1763432639.1096313,d4pg_demo,FAR,demo,8,2,-8.35875020396357,0,0,0,-0.137,0.009,1.384,0.19293174,-0.11254497,0.05511415,0.12482551,-0.2700611,-0.4791997,0.0,0.0,0.0,0.5878821015357971,0.5878821015357971,link6
1763432640.4991302,d4pg_demo,FAR,demo,8,3,-8.35914667832428,0,0,0,-0.085,0.021,1.388,0.17457367,-0.073765025,0.07009369,0.10739769,-0.2963962,-0.5091359,0.0,0.0,0.0,0.5836585164070129,0.5836585164070129,link6
1763432641.8987575,d4pg_demo,FAR,demo,8,4,-8.357796467296865,0,0,0,-0.113,0.013,1.386,0.2024496,-0.09433726,0.065105505,0.11183445,-0.28609878,-0.49574703,0.0,0.0,0.0,0.5889692902565002,0.5889692902565002,link6
1763432645.538171,d4pg_demo,FAR,demo,9,0,-8.38167840113513,0,0,0,0.012,0.04,1.395,0.027538583,0.008952685,0.004458664,0.007006959,-0.014839802,-0.03074671,0.0,0.0,0.0,0.6446703672409058,0.6446703672409058,link6
1763432646.9335692,d4pg_demo,FAR,demo,9,1,-8.358498232286692,0,0,0,-0.174,0.01,1.381,0.16792531,-0.15109712,0.054230623,0.039232712,-0.17365417,-0.37426838,0.0,0.0,0.0,0.6604405045509338,0.6604405045509338,link6
1763432648.3189464,d4pg_demo,FAR,demo,9,2,-8.359185272680506,0,0,0,-0.185,0.004,1.379,0.18267937,-0.15602164,0.053108323,0.0773018,-0.20510006,-0.4147707,0.0,0.0,0.0,0.6116876006126404,0.6116876006126404,link6
1763432649.7074993,d4pg_demo,FAR,demo,9,3,-8.355955448868754,0,0,0,-0.098,0.017,1.387,0.18183705,-0.08340116,0.0636899,0.13448839,-0.2864644,-0.50537616,0.0,0.0,0.0,0.5984694957733154,0.5984694957733154,link6
1763432651.0866537,d4pg_demo,FAR,demo,9,4,-8.358243255313202,0,0,0,-0.084,0.019,1.388,0.19361359,-0.071403265,0.06491133,0.10457133,-0.2912473,-0.4973143,0.0,0.0,0.0,0.5862004160881042,0.5862004160881042,link6
1763432654.7253284,d4pg_demo,FAR,demo,10,0,-8.380559355394352,0,0,0,0.006,0.039,1.395,0.038205322,0.004321032,0.0061426545,0.0031825406,-0.023155501,-0.049276497,0.0,0.0,0.0,0.6541497111320496,0.6541497111320496,link6
1763432656.1103818,d4pg_demo,FAR,demo,10,1,-8.362421040612697,0,0,0,-0.171,0.01,1.382,0.16931503,-0.1475279,0.05327467,0.03794393,-0.1737999,-0.37367114,0.0,0.0,0.0,0.6575388312339783,0.6575388312339783,link6
1763432657.497962,d4pg_demo,FAR,demo,10,2,-8.35744896531712,0,0,0,-0.175,0.006,1.38,0.18144429,-0.1487322,0.052893672,0.08145387,-0.21512575,-0.4206725,0.0,0.0,0.0,0.6113789081573486,0.6113789081573486,link6
1763432658.8789556,d4pg_demo,FAR,demo,10,3,-8.358712042846527,0,0,0,-0.139,0.008,1.384,0.19506036,-0.11663899,0.056117337,0.1411829,-0.26823476,-0.48278892,0.0,0.0,0.0,0.5967879891395569,0.5967879891395569,link6
1763432660.266282,d4pg_demo,FAR,demo,10,4,-8.357650924009661,0,0,0,-0.08,0.022,1.388,0.174667,-0.069461,0.06975588,0.10985321,-0.29959613,-0.5097217,0.0,0.0,0.0,0.5823564529418945,0.5823564529418945,link6
1763432663.9046023,d4pg_demo,FAR,demo,11,0,-8.377165321123675,0,0,0,-0.038,0.038,1.394,0.032074403,-0.031452112,0.006965821,0.016592626,-0.03067777,-0.06522776,0.0,0.0,0.0,0.6578103303909302,0.6578103303909302,link6
1763432665.2981937,d4pg_demo,FAR,demo,11,1,-8.360136787062947,0,0,0,-0.168,0.008,1.382,0.17768684,-0.14474922,0.052082434,0.053360634,-0.19201551,-0.40354928,0.0,0.0,0.0,0.6577612161636353,0.6577612161636353,link6
1763432666.6779332,d4pg_demo,FAR,demo,11,2,-8.361040076234604,0,0,0,-0.171,0.005,1.381,0.1847438,-0.14406104,0.0524176,0.08939122,-0.22930479,-0.44147807,0.0,0.0,0.0,0.6057053208351135,0.6057053208351135,link6
1763432668.0587811,d4pg_demo,FAR,demo,11,3,-8.353999574787405,0,0,0,-0.15,0.005,1.382,0.19603011,-0.12815589,0.06132538,0.14562325,-0.27238816,-0.4882751,0.0,0.0,0.0,0.5933469533920288,0.5933469533920288,link6
1763432669.4346235,d4pg_demo,FAR,demo,11,4,-8.3565613355693,0,0,0,-0.093,0.02,1.387,0.16913667,-0.0791096,0.06912411,0.114964895,-0.3048517,-0.5180644,0.0,0.0,0.0,0.5808354020118713,0.5808354020118713,link6
1763432673.0831382,d4pg_demo,FAR,demo,12,0,-8.374503664150419,0,0,0,-0.037,0.036,1.394,0.10505851,-0.031416766,0.0020110721,0.01956411,-0.040538937,-0.093719855,0.0,0.0,0.0,0.6954776644706726,0.6954776644706726,link6
1763432674.4690988,d4pg_demo,FAR,demo,12,1,-8.363792821287207,0,0,0,-0.153,0.017,1.384,0.13282736,-0.1368633,0.06758065,0.049945712,-0.19211908,-0.38490933,0.0,0.0,0.0,0.6367499232292175,0.6367499232292175,link6
1763432675.8560362,d4pg_demo,FAR,demo,12,2,-8.35732388129261,0,0,0,-0.15,0.009,1.383,0.1886917,-0.12791957,0.058900565,0.10581746,-0.23498252,-0.44333634,0.0,0.0,0.0,0.6167251467704773,0.6167251467704773,link6
1763432677.2471912,d4pg_demo,FAR,demo,12,3,-8.359481209201538,0,0,0,-0.149,0.002,1.383,0.22208387,-0.12037209,0.048594818,0.13903758,-0.2699085,-0.48835403,0.0,0.0,0.0,0.5917978286743164,0.5917978286743164,link6
1763432678.645347,d4pg_demo,FAR,demo,12,4,-8.360122560275604,0,0,0,-0.083,0.024,1.388,0.14468598,-0.07515777,0.07805273,0.10668643,-0.3040174,-0.5101756,0.0,0.0,0.0,0.5744389891624451,0.5744389891624451,link6
1763432682.3017285,d4pg_demo,FAR,demo,13,0,-8.38027001135713,0,0,0,-0.014,0.038,1.395,0.07571679,-0.012382899,0.012165863,0.013511166,-0.04370525,-0.09498055,0.0,0.0,0.0,0.6608558893203735,0.6608558893203735,link6
1763432683.6869407,d4pg_demo,FAR,demo,13,1,-8.36355459127155,0,0,0,-0.154,0.015,1.384,0.15010285,-0.13630007,0.059968445,0.044055253,-0.18261656,-0.37534776,0.0,0.0,0.0,0.6460443139076233,0.6460443139076233,link6
1763432685.0813584,d4pg_demo,FAR,demo,13,2,-8.358172443646529,0,0,0,-0.16,0.007,1.382,0.18784171,-0.13353819,0.05503103,0.09793701,-0.2279511,-0.4362662,0.0,0.0,0.0,0.6148808598518372,0.6148808598518372,link6
1763432686.4630015,d4pg_demo,FAR,demo,13,3,-8.355038944774549,0,0,0,-0.142,0.006,1.383,0.20501688,-0.11657968,0.05254945,0.13533208,-0.2679187,-0.48226205,0.0,0.0,0.0,0.5926707983016968,0.5926707983016968,link6
1763432687.8519793,d4pg_demo,FAR,demo,13,4,-8.360912745024816,0,0,0,-0.088,0.022,1.388,0.15970294,-0.077524014,0.0733043,0.10797349,-0.30018896,-0.5085267,0.0,0.0,0.0,0.5799335837364197,0.5799335837364197,link6
1763432691.5188928,d4pg_demo,FAR,demo,14,0,-8.379900202894373,0,0,0,0.002,0.039,1.395,0.06771953,-0.0049780468,0.011997722,0.010568831,-0.047483917,-0.103298955,0.0,0.0,0.0,0.6626905202865601,0.6626905202865601,link6
1763432692.9156091,d4pg_demo,FAR,demo,14,1,-8.36066324302555,0,0,0,-0.159,0.013,1.383,0.15993176,-0.13725553,0.056429423,0.03983932,-0.17873107,-0.3701104,0.0,0.0,0.0,0.6483848094940186,0.6483848094940186,link6
1763432694.3068938,d4pg_demo,FAR,demo,14,2,-8.363004216609196,0,0,0,-0.158,0.008,1.383,0.18485703,-0.133365,0.05590301,0.09382064,-0.22488081,-0.43105635,0.0,0.0,0.0,0.6129348874092102,0.6129348874092102,link6
1763432695.6897287,d4pg_demo,FAR,demo,14,3,-8.360188736770139,0,0,0,-0.141,0.007,1.384,0.19727217,-0.11662448,0.05493023,0.1352387,-0.26725104,-0.48053473,0.0,0.0,0.0,0.594460666179657,0.594460666179657,link6
1763432697.0730464,d4pg_demo,FAR,demo,14,4,-8.355968108434395,0,0,0,-0.092,0.02,1.387,0.16594532,-0.07828073,0.07058132,0.10826667,-0.2992613,-0.50889534,0.0,0.0,0.0,0.5821362137794495,0.5821362137794495,link6
1763432700.7245948,d4pg_demo,FAR,demo,15,0,-8.376702164007174,0,0,0,-0.036,0.038,1.394,0.041674063,-0.03239912,0.010529725,0.0146145895,-0.041188627,-0.08926461,0.0,0.0,0.0,0.6599162220954895,0.6599162220954895,link6
1763432702.1021976,d4pg_demo,FAR,demo,15,1,-8.360684192963511,0,0,0,-0.16,0.01,1.383,0.17847891,-0.13783963,0.05204144,0.0551565,-0.19233136,-0.3997313,0.0,0.0,0.0,0.6554027199745178,0.6554027199745178,link6
1763432703.4846916,d4pg_demo,FAR,demo,15,2,-8.362486876313575,0,0,0,-0.156,0.008,1.383,0.18400191,-0.12866467,0.05480255,0.0974542,-0.23906504,-0.4478792,0.0,0.0,0.0,0.6055368185043335,0.6055368185043335,link6
1763432704.878794,d4pg_demo,FAR,demo,15,3,-8.356167400491334,0,0,0,-0.153,0.006,1.382,0.19145225,-0.13179104,0.06277731,0.13914958,-0.27126765,-0.4847213,0.0,0.0,0.0,0.5919776558876038,0.5919776558876038,link6
1763432706.260799,d4pg_demo,FAR,demo,15,4,-8.358655568365757,0,0,0,-0.099,0.018,1.387,0.17552786,-0.08252084,0.06789325,0.117797785,-0.30450016,-0.5195606,0.0,0.0,0.0,0.5823612213134766,0.5823612213134766,link6
