ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1764179759.381116,d4pg_demo,FAR,demo,1,0,-6.376500167411129,0,0,0,0.015,0.002,1.053,0.17855008,-0.06074419,0.1476837,0.2207467,-0.017178202,0.19636169,0.0,0.0,0.0,0.4459378123283386,0.4459378123283386,link6
1764179760.75811,d4pg_demo,FAR,demo,1,1,-6.0835100699883125,0,0,0,0.043,0.025,1.004,0.6682797,-0.30902743,0.68209356,0.9527925,-0.07071732,0.8101368,0.0,0.0,0.0,0.4563602805137634,0.4563602805137634,link6
1764179762.1370199,d4pg_demo,FAR,demo,1,2,-5.895862929181433,0,0,0,0.003,-0.007,0.977,0.24532855,-0.46183988,0.85190934,1.1200329,-0.06846348,0.79532075,0.0,0.0,0.0,0.5000145435333252,0.5000145435333252,link6
1764179765.7913263,d4pg_demo,FAR,demo,2,0,-6.357724151741235,0,0,0,-0.001,0.0,1.055,0.09666397,-0.011694648,0.016326165,0.014422552,0.005270595,0.0544162,0.0,0.0,0.0,0.5194991827011108,0.5194991827011108,link6
1764179767.1702552,d4pg_demo,FAR,demo,2,1,-6.342950546049045,0,0,0,-0.018,-0.02,1.052,0.84325904,-0.11547272,0.14431329,-0.02795973,0.050653055,0.5239024,0.0,0.0,0.0,0.5153827667236328,0.5153827667236328,link6
1764179768.5509462,d4pg_demo,FAR,demo,2,2,-6.342882719325618,0,0,0,-0.017,-0.018,1.052,0.8006217,-0.12148538,0.1555792,-0.04602799,0.0627631,0.72089356,0.0,0.0,0.0,0.5145257711410522,0.5145257711410522,link6
1764179772.2149403,d4pg_demo,FAR,demo,3,0,-6.350625589159799,0,0,0,0.081,0.056,1.041,0.59327555,-0.047171213,0.2898093,1.1698818,0.013519724,3.6153822,0.0,0.0,0.0,0.41767364740371704,0.41767364740371704,link6
1764179773.598497,d4pg_demo,FAR,demo,3,1,-6.235933120031859,0,0,0,0.02,0.0,1.034,-0.28448278,-0.21651451,0.4425706,2.0378466,0.053506013,5.211618,0.0,0.0,0.0,0.509056568145752,0.509056568145752,link6
1764179774.9761424,d4pg_demo,FAR,demo,3,2,-6.165306932998881,0,0,0,-0.05,0.058,1.021,-0.79067504,-0.37477878,0.54050404,2.5097876,0.07730531,5.9429855,0.0,0.0,0.0,0.5421573519706726,0.5421573519706726,link6
1764179778.6250727,d4pg_demo,FAR,demo,4,0,-6.104515724912882,0,0,0,-0.004,0.001,1.012,-0.40758577,-0.36316442,0.6546137,1.892852,-0.0055125807,4.6364746,0.0,0.0,0.0,0.5037020444869995,0.5037020444869995,link6
1764179780.0108654,d4pg_demo,FAR,demo,4,1,-5.835984650203628,0,0,0,-0.043,0.042,0.966,-0.76541877,-0.5648379,0.8969839,2.4635787,0.011755387,5.6873813,0.0,0.0,0.0,0.5157686471939087,0.5157686471939087,link6
1764179781.3913214,d4pg_demo,FAR,demo,4,2,-5.623501694657177,0,0,0,-0.031,0.069,0.929,-1.1309437,-0.690651,1.0743448,2.8097851,0.034691982,6.0992723,0.0,0.0,0.0,0.5081456303596497,0.5081456303596497,link6
1764179785.051119,d4pg_demo,FAR,demo,5,0,-6.2916312202541995,0,0,0,0.04,0.019,1.038,0.53484094,-0.1759196,0.43090773,0.5115552,-0.034176763,-0.25048244,0.0,0.0,0.0,0.44573336839675903,0.44573336839675903,link6
1764179786.4386733,d4pg_demo,FAR,demo,5,1,-6.027868480140316,0,0,0,0.043,0.046,0.994,0.90335816,-0.32748675,0.741714,0.88773596,-0.056225758,-0.41740552,0.0,0.0,0.0,0.45676112174987793,0.45676112174987793,link6
1764179787.8170135,d4pg_demo,FAR,demo,5,2,-5.972801387917875,0,0,0,0.035,0.036,0.986,0.88728446,-0.37152904,0.7935138,1.1662302,-0.040773407,-0.54141784,0.0,0.0,0.0,0.4622601866722107,0.4622601866722107,link6
1764179791.461946,d4pg_demo,FAR,demo,6,0,-6.357615322983847,0,0,0,0.017,0.004,1.051,0.28830528,-0.09408325,0.21587001,0.2817681,-0.018467413,-0.19969693,0.0,0.0,0.0,0.4590384364128113,0.4590384364128113,link6
1764179792.838878,d4pg_demo,FAR,demo,6,1,-6.009685463553041,0,0,0,0.034,0.047,0.992,1.0541767,-0.3388459,0.7523801,1.0637013,-0.059550196,-0.69381,0.0,0.0,0.0,0.46560901403427124,0.46560901403427124,link6
1764179794.2156286,d4pg_demo,FAR,demo,6,2,-5.926068186686865,0,0,0,0.013,0.014,0.981,1.0936137,-0.43079582,0.8300045,1.3037556,-0.046123613,-1.0059063,0.0,0.0,0.0,0.48548609018325806,0.48548609018325806,link6
1764179797.8715522,d4pg_demo,FAR,demo,7,0,-6.445495495176955,0,0,0,0.012,0.001,1.054,0.07010985,-0.053205468,0.1389029,0.089563414,-0.018166045,0.20181113,0.0,0.0,0.0,0.37207186222076416,0.37207186222076416,link6
1764179799.2571146,d4pg_demo,FAR,demo,7,1,-5.239407068955444,0,0,0,0.137,0.061,0.836,0.54437584,-0.5427332,1.3964735,1.0037127,-0.18600376,1.48627,0.0,0.0,0.0,0.35519713163375854,0.35519713163375854,link6
1764179800.6496427,d4pg_demo,FAR,demo,7,2,-5.005920788084646,0,0,0,0.104,-0.005,0.819,0.12996565,-0.6637211,1.4732213,1.3839561,-0.18116693,1.4915692,0.0,0.0,0.0,0.45588719844818115,0.45588719844818115,link6
1764179804.2999985,d4pg_demo,FAR,demo,8,0,-5.748603333985219,0,0,0,0.017,0.002,0.951,0.549355,-0.53755623,1.0249152,1.0855502,-0.07261719,-1.8236996,0.0,0.0,0.0,0.4787192940711975,0.4787192940711975,link6
1764179805.677251,d4pg_demo,FAR,demo,8,1,-5.588635464308562,0,0,0,-0.007,-0.033,0.925,1.185189,-0.6408216,1.0884192,1.4962293,-0.05268937,-2.0005636,0.0,0.0,0.0,0.49633926153182983,0.49633926153182983,link6
1764179807.058076,d4pg_demo,FAR,demo,8,2,-5.657981215015328,0,0,0,0.01,-0.048,0.936,1.7050995,-0.6398681,1.0396795,1.7837446,-0.026291315,-2.0146117,0.0,0.0,0.0,0.49825912714004517,0.49825912714004517,link6
1764179810.7127001,d4pg_demo,FAR,demo,9,0,-5.957684455209248,0,0,0,0.103,0.083,0.97,0.6947196,-0.29014194,0.84486556,0.18430822,-0.08870559,1.1238502,0.0,0.0,0.0,0.40885666012763977,0.40885666012763977,link6
1764179812.0923457,d4pg_demo,FAR,demo,9,1,-5.335516237203984,0,0,0,0.104,0.115,0.861,0.8431749,-0.49750924,1.31806,0.26579896,-0.12781404,1.5826899,0.0,0.0,0.0,0.4057996869087219,0.4057996869087219,link6
1764179813.4809175,d4pg_demo,FAR,demo,9,2,-5.064150052849635,0,0,0,0.063,-0.005,0.831,0.004420675,-0.7047119,1.4732677,0.32802787,-0.14500976,1.4483714,0.0,0.0,0.0,0.43621915578842163,0.43621915578842163,link6
1764179817.12934,d4pg_demo,FAR,demo,10,0,-6.3384643403638625,0,0,0,0.068,0.012,1.029,0.24307428,-0.19809218,0.54795516,0.35828206,-0.07292759,0.4887151,0.0,0.0,0.0,0.35027047991752625,0.35027047991752625,link6
