mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,dist_out,signed,closest_link
RANDOM,random,1,1,0.0,0,0,0,-0.144,0.039,0.852,nan,nan,
RANDOM,random,1,2,0.0,0,0,0,-0.086,0.188,0.551,nan,nan,
RANDOM,random,1,3,0.0,0,0,0,0.085,0.388,0.397,nan,nan,
RANDOM,random,1,4,0.0,0,0,0,-0.261,0.16,0.948,nan,nan,
RANDOM,random,1,5,0.0,0,0,0,-0.088,-0.509,0.66,nan,nan,
RANDOM,random,1,6,0.0,0,0,0,-0.21,0.039,0.869,nan,nan,
RANDOM,random,1,7,0.0,0,0,0,-0.238,0.371,0.914,nan,nan,
RANDOM,random,1,8,0.0,0,0,0,-0.171,-0.352,0.577,nan,nan,
RANDOM,random,1,9,0.0,0,0,0,0.383,-0.204,0.775,nan,nan,
RANDOM,random,1,10,0.0,0,0,0,0.035,0.577,0.256,nan,nan,
RANDOM,random,1,11,0.0,0,0,0,-0.197,0.09,0.76,nan,nan,
RANDOM,random,1,12,0.0,0,0,0,0.003,0.245,0.857,nan,nan,
RANDOM,random,1,13,0.0,0,0,0,0.109,-0.021,1.042,nan,nan,
RANDOM,random,1,14,0.0,0,0,0,-0.124,0.152,0.998,nan,nan,
RANDOM,random,1,15,0.0,0,0,0,0.125,-0.278,0.2,nan,nan,
RANDOM,random,1,16,0.0,0,0,0,0.172,-0.018,0.568,nan,nan,
RANDOM,random,1,17,0.0,0,0,0,0.23,0.301,0.872,nan,nan,
RANDOM,random,1,18,0.0,0,0,0,0.281,0.077,0.932,nan,nan,
RANDOM,random,1,19,0.0,0,0,0,-0.003,0.406,0.71,nan,nan,
RANDOM,random,1,20,0.0,0,0,0,0.006,0.407,0.262,nan,nan,
RANDOM,random,1,21,0.0,0,0,0,0.094,0.638,0.329,nan,nan,
RANDOM,random,1,22,0.0,0,0,0,-0.167,0.237,0.522,nan,nan,
RANDOM,random,1,23,0.0,0,0,0,-0.045,-0.497,0.36,nan,nan,
RANDOM,random,1,24,0.0,0,0,0,-0.355,0.056,0.529,nan,nan,
RANDOM,random,1,25,0.0,0,0,0,0.137,0.268,0.94,nan,nan,
RANDOM,random,1,26,0.0,0,0,0,0.327,0.142,0.465,nan,nan,
RANDOM,random,1,27,0.0,0,0,0,0.037,-0.303,0.332,nan,nan,
RANDOM,random,1,28,0.0,0,0,0,0.05,-0.132,0.578,nan,nan,
RANDOM,random,1,29,0.0,0,0,0,-0.114,0.062,1.023,nan,nan,
RANDOM,random,1,30,0.0,0,0,0,-0.223,0.201,0.233,nan,nan,
RANDOM,random,1,31,0.0,0,0,0,0.134,0.522,0.545,nan,nan,
RANDOM,random,1,32,0.0,0,0,0,0.279,-0.393,0.494,nan,nan,
RANDOM,random,1,33,0.0,0,0,0,-0.104,-0.026,0.526,nan,nan,
RANDOM,random,1,34,0.0,0,0,0,0.166,0.03,0.95,nan,nan,
RANDOM,random,1,35,0.0,0,0,0,-0.134,0.255,0.345,nan,nan,
RANDOM,random,2,1,0.0,0,0,0,-0.307,0.038,0.583,nan,nan,
RANDOM,random,2,2,0.0,0,0,0,-0.092,-0.096,0.778,nan,nan,
RANDOM,random,2,3,0.0,0,0,0,0.341,0.063,0.798,nan,nan,
RANDOM,random,2,4,0.0,0,0,0,0.236,-0.319,0.477,nan,nan,
RANDOM,random,2,5,0.0,0,0,0,-0.31,-0.028,0.473,nan,nan,
RANDOM,random,2,6,0.0,0,0,0,0.185,-0.229,0.178,nan,nan,
RANDOM,random,2,7,0.0,0,0,0,0.044,-0.128,0.796,nan,nan,
RANDOM,random,2,8,0.0,0,0,0,-0.473,0.008,0.274,nan,nan,
RANDOM,random,2,9,0.0,0,0,0,0.39,-0.034,0.463,nan,nan,
RANDOM,random,2,10,0.0,0,0,0,0.182,0.237,0.648,nan,nan,
RANDOM,random,2,11,0.0,0,0,0,0.205,-0.192,0.413,nan,nan,
RANDOM,random,2,12,0.0,0,0,0,0.172,0.15,0.311,nan,nan,
RANDOM,random,2,13,0.0,0,0,0,0.013,-0.214,0.809,nan,nan,
RANDOM,random,2,14,0.0,0,0,0,0.094,-0.022,0.393,nan,nan,
RANDOM,random,2,15,0.0,0,0,0,-0.465,-0.021,0.516,nan,nan,
RANDOM,random,2,16,0.0,0,0,0,0.124,0.257,0.626,nan,nan,
RANDOM,random,2,17,0.0,0,0,0,-0.0,0.162,0.501,nan,nan,
RANDOM,random,2,18,0.0,0,0,0,0.121,0.023,0.364,nan,nan,
RANDOM,random,2,19,0.0,0,0,0,0.295,-0.578,0.521,nan,nan,
RANDOM,random,2,20,0.0,0,0,0,0.031,0.137,0.542,nan,nan,
RANDOM,random,2,21,0.0,0,0,0,-0.019,-0.002,0.42,nan,nan,
RANDOM,random,2,22,0.0,0,0,0,0.334,-0.104,0.796,nan,nan,
RANDOM,random,2,23,0.0,0,0,0,-0.085,-0.104,0.326,nan,nan,
RANDOM,random,2,24,0.0,0,0,0,-0.463,-0.208,0.683,nan,nan,
RANDOM,random,2,25,0.0,0,0,0,-0.221,0.021,0.478,nan,nan,
RANDOM,random,2,26,0.0,0,0,0,0.042,-0.227,0.311,nan,nan,
RANDOM,random,2,27,0.0,0,0,0,-0.085,0.074,0.778,nan,nan,
RANDOM,random,2,28,0.0,0,0,0,-0.17,0.027,0.62,nan,nan,
RANDOM,random,2,29,0.0,0,0,0,-0.15,-0.084,0.763,nan,nan,
