mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,dist_out,signed,closest_link
RANDOM,random,1,1,0.0,0,0,0,-0.58,-0.22,0.689,nan,nan,
RANDOM,random,1,2,0.0,0,0,0,-0.19,0.274,0.097,nan,nan,
RANDOM,random,1,3,0.0,0,0,0,-0.411,0.077,0.139,nan,nan,
RANDOM,random,1,4,0.0,0,0,0,-0.169,-0.117,0.643,nan,nan,
RANDOM,random,1,5,0.0,0,0,0,0.239,-0.518,0.723,nan,nan,
RANDOM,random,1,6,0.0,0,0,0,0.245,-0.041,0.297,nan,nan,
RANDOM,random,1,7,0.0,0,0,0,0.664,-0.089,0.382,nan,nan,
RANDOM,random,1,8,0.0,0,0,0,-0.473,-0.011,0.479,nan,nan,
RANDOM,random,1,9,0.0,0,0,0,-0.067,-0.583,0.677,nan,nan,
RANDOM,random,1,10,0.0,0,0,0,-0.224,0.221,0.651,nan,nan,
