mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,dist_out,signed,closest_link
RANDOM,random,1,1,0.0,0,0,0,0.012,-0.175,0.72,nan,nan,
RANDOM,random,1,2,0.0,0,0,0,-0.104,-0.051,0.709,nan,nan,
RANDOM,random,1,3,0.0,0,0,0,0.263,-0.327,0.637,nan,nan,
RANDOM,random,1,4,0.0,0,0,0,0.169,0.076,1.022,nan,nan,
RANDOM,random,1,5,0.0,0,0,0,0.303,-0.132,0.74,nan,nan,
RANDOM,random,1,6,0.0,0,0,0,0.262,-0.163,0.787,nan,nan,
RANDOM,random,1,7,0.0,0,0,0,-0.48,-0.162,0.491,nan,nan,
RANDOM,random,1,8,0.0,0,0,0,-0.028,-0.013,0.806,nan,nan,
RANDOM,random,1,9,0.0,0,0,0,-0.465,0.165,0.25,nan,nan,
RANDOM,random,1,10,0.0,0,0,0,-0.187,0.418,0.716,nan,nan,
RANDOM,random,1,11,0.0,0,0,0,0.084,0.517,0.54,nan,nan,
RANDOM,random,1,12,0.0,0,0,0,-0.181,-0.283,0.275,nan,nan,
RANDOM,random,1,13,0.0,0,0,0,0.438,-0.168,0.64,nan,nan,
RANDOM,random,1,14,0.0,0,0,0,-0.211,0.202,0.402,nan,nan,
RANDOM,random,1,15,0.0,0,0,0,0.367,0.167,0.388,nan,nan,
RANDOM,random,1,16,0.0,0,0,0,-0.262,0.328,0.585,nan,nan,
RANDOM,random,1,17,0.0,0,0,0,-0.051,0.062,1.005,nan,nan,
RANDOM,random,1,18,0.0,0,0,0,0.103,0.212,0.806,nan,nan,
RANDOM,random,1,19,0.0,0,0,0,-0.418,-0.114,0.726,nan,nan,
RANDOM,random,1,20,0.0,0,0,0,-0.067,-0.34,0.941,nan,nan,
RANDOM,random,1,21,0.0,0,0,0,0.141,0.013,0.806,nan,nan,
RANDOM,random,1,22,0.0,0,0,0,0.433,0.161,0.33,nan,nan,
RANDOM,random,1,23,0.0,0,0,0,0.034,-0.173,0.867,nan,nan,
RANDOM,random,1,24,0.0,0,0,0,-0.305,0.012,0.991,nan,nan,
RANDOM,random,1,25,0.0,0,0,0,0.265,-0.268,0.641,nan,nan,
RANDOM,random,1,26,0.0,0,0,0,-0.224,-0.398,0.315,nan,nan,
RANDOM,random,1,27,0.0,0,0,0,0.568,0.088,0.632,nan,nan,
RANDOM,random,1,28,0.0,0,0,0,-0.369,0.116,0.769,nan,nan,
RANDOM,random,1,29,0.0,0,0,0,-0.115,0.321,0.838,nan,nan,
RANDOM,random,1,30,0.0,0,0,0,-0.218,0.028,0.769,nan,nan,
RANDOM,random,1,31,0.0,0,0,0,0.22,0.029,0.571,nan,nan,
RANDOM,random,1,32,0.0,0,0,0,-0.013,-0.243,0.317,nan,nan,
RANDOM,random,1,33,0.0,0,0,0,-0.12,0.392,0.531,nan,nan,
RANDOM,random,1,34,0.0,0,0,0,0.112,0.486,0.574,nan,nan,
RANDOM,random,1,35,0.0,0,0,0,0.267,0.073,0.717,nan,nan,
RANDOM,random,2,1,0.0,0,0,0,0.276,-0.155,0.708,nan,nan,
RANDOM,random,2,2,0.0,0,0,0,-0.209,-0.349,0.702,nan,nan,
RANDOM,random,2,3,0.0,0,0,0,0.034,0.498,0.798,nan,nan,
RANDOM,random,2,4,0.0,0,0,0,-0.148,0.572,0.363,nan,nan,
RANDOM,random,2,5,0.0,0,0,0,0.322,0.015,0.282,nan,nan,
RANDOM,random,2,6,0.0,0,0,0,0.128,-0.331,0.325,nan,nan,
RANDOM,random,2,7,0.0,0,0,0,0.311,-0.078,0.544,nan,nan,
RANDOM,random,2,8,0.0,0,0,0,0.203,-0.074,0.927,nan,nan,
RANDOM,random,2,9,0.0,0,0,0,-0.069,0.182,0.777,nan,nan,
RANDOM,random,2,10,0.0,0,0,0,-0.112,-0.415,0.617,nan,nan,
RANDOM,random,2,11,0.0,0,0,0,0.243,-0.246,0.498,nan,nan,
RANDOM,random,2,12,0.0,0,0,0,-0.107,-0.175,0.947,nan,nan,
RANDOM,random,2,13,0.0,0,0,0,-0.194,0.052,0.781,nan,nan,
RANDOM,random,2,14,0.0,0,0,0,0.1,-0.454,0.821,nan,nan,
RANDOM,random,2,15,0.0,0,0,0,0.425,-0.231,0.649,nan,nan,
RANDOM,random,2,16,0.0,0,0,0,0.013,0.385,0.666,nan,nan,
RANDOM,random,2,17,0.0,0,0,0,0.061,0.167,0.825,nan,nan,
RANDOM,random,2,18,0.0,0,0,0,0.361,-0.085,0.569,nan,nan,
RANDOM,random,2,19,0.0,0,0,0,-0.163,0.153,0.653,nan,nan,
RANDOM,random,2,20,0.0,0,0,0,-0.163,0.092,0.785,nan,nan,
RANDOM,random,2,21,0.0,0,0,0,-0.199,0.127,0.348,nan,nan,
RANDOM,random,2,22,0.0,0,0,0,-0.098,-0.203,0.346,nan,nan,
RANDOM,random,2,23,0.0,0,0,0,0.14,0.115,0.984,nan,nan,
RANDOM,random,2,24,0.0,0,0,0,-0.03,0.06,0.914,nan,nan,
RANDOM,random,2,25,0.0,0,0,0,-0.202,-0.464,0.636,nan,nan,
RANDOM,random,2,26,0.0,0,0,0,-0.405,-0.152,0.367,nan,nan,
RANDOM,random,2,27,0.0,0,0,0,0.075,0.157,0.42,nan,nan,
RANDOM,random,2,28,0.0,0,0,0,0.089,0.084,0.744,nan,nan,
RANDOM,random,2,29,0.0,0,0,0,0.19,0.042,0.993,nan,nan,
RANDOM,random,2,30,0.0,0,0,0,0.203,-0.243,0.725,nan,nan,
