mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,dist_out,signed,closest_link
RANDOM,random,1,1,0.0,0,0,0,0.161,-0.042,1.368,nan,nan,
RANDOM,random,1,2,0.0,0,0,0,-0.62,-0.343,1.157,nan,nan,
RANDOM,random,1,3,0.0,0,0,0,-0.517,0.061,1.186,nan,nan,
RANDOM,random,1,4,0.0,0,0,0,0.235,-0.125,1.059,nan,nan,
RANDOM,random,1,5,0.0,0,0,0,-0.134,-0.234,0.92,nan,nan,
RANDOM,random,1,6,0.0,0,0,0,0.541,0.335,0.485,nan,nan,
RANDOM,random,1,7,0.0,0,0,0,-0.126,-0.143,1.068,nan,nan,
RANDOM,random,1,8,0.0,0,0,0,0.444,0.4,1.095,nan,nan,
RANDOM,random,1,9,0.0,0,0,0,0.699,0.356,0.671,nan,nan,
RANDOM,random,1,10,0.0,0,0,0,-0.005,-0.252,0.444,nan,nan,
RANDOM,random,1,11,0.0,0,0,0,-0.259,-0.018,1.092,nan,nan,
RANDOM,random,1,12,0.0,0,0,0,-0.283,-0.283,0.816,nan,nan,
RANDOM,random,1,13,0.0,0,0,0,0.325,0.039,0.827,nan,nan,
RANDOM,random,1,14,0.0,0,0,0,0.111,0.505,0.977,nan,nan,
RANDOM,random,1,15,0.0,0,0,0,-0.011,0.081,1.207,nan,nan,
RANDOM,random,1,16,0.0,0,0,0,-0.077,0.048,1.358,nan,nan,
RANDOM,random,1,17,0.0,0,0,0,0.028,0.513,1.068,nan,nan,
RANDOM,random,1,18,0.0,0,0,0,0.119,0.482,1.043,nan,nan,
RANDOM,random,1,19,0.0,0,0,0,0.393,0.116,0.541,nan,nan,
RANDOM,random,1,20,0.0,0,0,0,-0.594,-0.253,1.193,nan,nan,
RANDOM,random,1,21,0.0,0,0,0,-0.304,-0.144,0.845,nan,nan,
RANDOM,random,1,22,0.0,0,0,0,0.461,0.345,0.246,nan,nan,
RANDOM,random,1,23,0.0,0,0,0,0.397,0.273,0.626,nan,nan,
RANDOM,random,1,24,0.0,0,0,0,-0.381,0.297,0.735,nan,nan,
RANDOM,random,1,25,0.0,0,0,0,-0.272,-0.203,0.379,nan,nan,
RANDOM,random,1,26,0.0,0,0,0,0.2,0.578,0.361,nan,nan,
RANDOM,random,1,27,0.0,0,0,0,0.135,-0.011,1.169,nan,nan,
RANDOM,random,1,28,0.0,0,0,0,-0.163,0.286,0.895,nan,nan,
RANDOM,random,1,29,0.0,0,0,0,-0.576,0.025,1.223,nan,nan,
RANDOM,random,1,30,0.0,0,0,0,0.081,0.565,0.18,nan,nan,
RANDOM,random,1,31,0.0,0,0,0,-0.289,-0.019,1.032,nan,nan,
RANDOM,random,1,32,0.0,0,0,0,0.571,0.327,1.106,nan,nan,
RANDOM,random,1,33,0.0,0,0,0,0.215,0.522,0.249,nan,nan,
RANDOM,random,1,34,0.0,0,0,0,-0.646,-0.435,0.944,nan,nan,
RANDOM,random,1,35,0.0,0,0,0,-0.431,-0.565,0.399,nan,nan,
RANDOM,random,2,1,0.0,0,0,0,0.068,0.276,1.05,nan,nan,
RANDOM,random,2,2,0.0,0,0,0,0.272,0.549,0.342,nan,nan,
RANDOM,random,2,3,0.0,0,0,0,0.194,0.179,0.749,nan,nan,
RANDOM,random,2,4,0.0,0,0,0,-0.096,0.053,1.158,nan,nan,
RANDOM,random,2,5,0.0,0,0,0,-0.456,0.093,0.428,nan,nan,
RANDOM,random,2,6,0.0,0,0,0,0.308,-0.015,1.004,nan,nan,
RANDOM,random,2,7,0.0,0,0,0,-0.044,-0.062,1.141,nan,nan,
RANDOM,random,2,8,0.0,0,0,0,-0.411,-0.013,1.16,nan,nan,
RANDOM,random,2,9,0.0,0,0,0,0.412,0.038,0.468,nan,nan,
RANDOM,random,2,10,0.0,0,0,0,0.489,0.335,0.331,nan,nan,
RANDOM,random,2,11,0.0,0,0,0,-0.222,-0.039,1.165,nan,nan,
RANDOM,random,2,12,0.0,0,0,0,-0.66,0.237,0.745,nan,nan,
RANDOM,random,2,13,0.0,0,0,0,0.284,0.72,0.624,nan,nan,
RANDOM,random,2,14,0.0,0,0,0,0.144,0.125,1.148,nan,nan,
RANDOM,random,2,15,0.0,0,0,0,-0.34,0.741,0.801,nan,nan,
RANDOM,random,2,16,0.0,0,0,0,-0.519,-0.208,1.041,nan,nan,
RANDOM,random,2,17,0.0,0,0,0,0.112,0.483,0.716,nan,nan,
RANDOM,random,2,18,0.0,0,0,0,0.648,-0.42,0.88,nan,nan,
RANDOM,random,2,19,0.0,0,0,0,-0.132,0.157,1.342,nan,nan,
RANDOM,random,2,20,0.0,0,0,0,-0.281,-0.272,0.64,nan,nan,
RANDOM,random,2,21,0.0,0,0,0,0.369,-0.54,0.579,nan,nan,
RANDOM,random,2,22,0.0,0,0,0,-0.05,0.38,1.097,nan,nan,
RANDOM,random,2,23,0.0,0,0,0,0.245,-0.297,1.191,nan,nan,
RANDOM,random,2,24,0.0,0,0,0,-0.777,-0.279,0.698,nan,nan,
RANDOM,random,2,25,0.0,0,0,0,-0.053,0.558,0.334,nan,nan,
RANDOM,random,2,26,0.0,0,0,0,0.081,0.005,1.144,nan,nan,
RANDOM,random,2,27,0.0,0,0,0,-0.498,-0.107,0.361,nan,nan,
RANDOM,random,2,28,0.0,0,0,0,0.197,-0.241,0.488,nan,nan,
RANDOM,random,2,29,0.0,0,0,0,-0.373,0.117,1.195,nan,nan,
RANDOM,random,2,30,0.0,0,0,0,0.253,0.328,0.756,nan,nan,
RANDOM,random,2,31,0.0,0,0,0,-0.075,0.339,0.96,nan,nan,
RANDOM,random,2,32,0.0,0,0,0,-0.654,0.404,0.601,nan,nan,
RANDOM,random,2,33,0.0,0,0,0,-0.143,-0.158,1.197,nan,nan,
RANDOM,random,2,34,0.0,0,0,0,-0.856,0.048,0.452,nan,nan,
RANDOM,random,2,35,0.0,0,0,0,-0.464,-0.024,1.021,nan,nan,
RANDOM,random,3,1,0.0,0,0,0,-0.542,0.278,0.759,nan,nan,
RANDOM,random,3,2,0.0,0,0,0,-0.081,-0.01,1.03,nan,nan,
RANDOM,random,3,3,0.0,0,0,0,-0.002,-0.124,1.111,nan,nan,
RANDOM,random,3,4,0.0,0,0,0,-0.212,-0.121,1.29,nan,nan,
RANDOM,random,3,5,0.0,0,0,0,-0.284,-0.237,0.665,nan,nan,
RANDOM,random,3,6,0.0,0,0,0,-0.423,-0.134,0.936,nan,nan,
RANDOM,random,3,7,0.0,0,0,0,0.392,-0.05,0.994,nan,nan,
RANDOM,random,3,8,0.0,0,0,0,0.068,0.031,0.458,nan,nan,
RANDOM,random,3,9,0.0,0,0,0,0.22,-0.213,0.646,nan,nan,
RANDOM,random,3,10,0.0,0,0,0,0.008,-0.356,0.853,nan,nan,
RANDOM,random,3,11,0.0,0,0,0,0.742,-0.25,0.314,nan,nan,
RANDOM,random,3,12,0.0,0,0,0,0.24,0.047,0.945,nan,nan,
RANDOM,random,3,13,0.0,0,0,0,0.209,-0.404,0.701,nan,nan,
RANDOM,random,3,14,0.0,0,0,0,0.356,0.168,1.077,nan,nan,
RANDOM,random,3,15,0.0,0,0,0,0.343,-0.319,1.24,nan,nan,
RANDOM,random,3,16,0.0,0,0,0,0.16,0.48,0.415,nan,nan,
RANDOM,random,3,17,0.0,0,0,0,-0.175,0.537,1.176,nan,nan,
RANDOM,random,3,18,0.0,0,0,0,-0.211,0.815,0.478,nan,nan,
RANDOM,random,3,19,0.0,0,0,0,-0.305,0.303,0.675,nan,nan,
RANDOM,random,3,20,0.0,0,0,0,-0.134,0.307,1.011,nan,nan,
RANDOM,random,3,21,0.0,0,0,0,-0.116,0.421,0.998,nan,nan,
RANDOM,random,3,22,0.0,0,0,0,0.006,0.336,0.617,nan,nan,
RANDOM,random,3,23,0.0,0,0,0,-0.094,-0.546,0.7,nan,nan,
RANDOM,random,3,24,0.0,0,0,0,-0.566,0.35,0.735,nan,nan,
RANDOM,random,3,25,0.0,0,0,0,-0.406,-0.112,0.527,nan,nan,
RANDOM,random,3,26,0.0,0,0,0,-0.007,-0.055,1.105,nan,nan,
RANDOM,random,3,27,0.0,0,0,0,-0.294,-0.03,1.065,nan,nan,
RANDOM,random,3,28,0.0,0,0,0,-0.358,0.64,0.769,nan,nan,
RANDOM,random,3,29,0.0,0,0,0,-0.126,-0.636,0.833,nan,nan,
RANDOM,random,3,30,0.0,0,0,0,-0.061,0.036,1.064,nan,nan,
RANDOM,random,3,31,0.0,0,0,0,-0.244,0.171,0.64,nan,nan,
RANDOM,random,3,32,0.0,0,0,0,-0.087,-0.426,0.353,nan,nan,
RANDOM,random,3,33,0.0,0,0,0,-0.095,-0.11,1.134,nan,nan,
RANDOM,random,3,34,0.0,0,0,0,0.439,-0.643,0.446,nan,nan,
RANDOM,random,3,35,0.0,0,0,0,-0.099,0.338,1.034,nan,nan,
RANDOM,random,4,1,0.0,0,0,0,0.533,-0.312,0.897,nan,nan,
RANDOM,random,4,2,0.0,0,0,0,0.031,-0.482,0.176,nan,nan,
RANDOM,random,4,3,0.0,0,0,0,-0.733,0.279,0.757,nan,nan,
RANDOM,random,4,4,0.0,0,0,0,0.821,0.04,0.811,nan,nan,
RANDOM,random,4,5,0.0,0,0,0,-0.559,0.149,0.867,nan,nan,
RANDOM,random,4,6,0.0,0,0,0,-0.125,0.426,0.384,nan,nan,
RANDOM,random,4,7,0.0,0,0,0,-0.019,0.081,1.119,nan,nan,
RANDOM,random,4,8,0.0,0,0,0,0.047,0.331,0.834,nan,nan,
RANDOM,random,4,9,0.0,0,0,0,0.584,0.102,0.711,nan,nan,
RANDOM,random,4,10,0.0,0,0,0,0.56,-0.552,0.93,nan,nan,
RANDOM,random,4,11,0.0,0,0,0,-0.234,-0.361,0.346,nan,nan,
RANDOM,random,4,12,0.0,0,0,0,0.008,0.051,0.952,nan,nan,
