ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1763444108.3320115,d4pg_demo,FAR,demo,1,0,-5.973489505628407,0,0,0,-0.566,0.485,0.66,-0.61566293,-0.22710156,-1.5535334,-1.3989203,-0.5192842,0.36766565,0.0,0.0,0.0,1.379662275314331,1.379662275314331,link6
1763444109.7168477,d4pg_demo,FAR,demo,1,1,-2.560432985949575,0,0,0,-0.072,0.404,0.117,-1.1761588,-0.4222129,-2.5376935,-2.420006,-0.71732223,0.54559886,0.0,0.0,0.0,1.0639760494232178,1.0639760494232178,link6
1763444111.0910676,d4pg_demo,FAR,demo,1,2,-2.7229176282999714,0,0,0,0.173,0.378,0.182,-1.9041377,-0.22243951,-2.5241292,-3.1240473,-0.454416,0.8164522,0.0,0.0,0.0,1.0812757015228271,1.0812757015228271,link6
1763444112.4849198,d4pg_demo,FAR,demo,1,3,-2.721397077016145,0,0,0,0.061,0.42,0.16,-1.6219531,-0.338313,-2.5476043,-3.1364856,-0.7755647,1.1060925,0.0,0.0,0.0,1.3289494514465332,1.3289494514465332,link6
1763444113.8723187,d4pg_demo,FAR,demo,1,4,-2.8369143236224783,0,0,0,-0.07,0.436,0.169,-1.3221817,-0.39555955,-2.5394015,-3.1392922,-1.0561788,1.3185973,0.0,0.0,0.0,1.3730716705322266,1.3730716705322266,link6
1763444115.2505705,d4pg_demo,FAR,demo,1,5,-2.5779316330311475,0,0,0,-0.147,0.387,0.115,-1.1098713,-0.39379567,-2.5226269,-3.1391594,-0.50616527,0.605972,0.0,0.0,0.0,1.3907886743545532,1.3907886743545532,link6
1763444116.6534002,d4pg_demo,FAR,demo,1,6,-2.487869480471483,0,0,0,-0.083,0.394,0.099,-1.2956266,-0.42216086,-2.5370114,-3.1383545,-0.51968694,0.71734405,0.0,0.0,0.0,1.1963434219360352,1.1963434219360352,link6
1763444118.1098132,d4pg_demo,FAR,demo,1,7,-2.865325220028952,0,0,0,0.046,0.437,0.187,-1.5854982,-0.27381665,-2.5131352,-3.137004,-0.6802048,1.0759369,0.0,0.0,0.0,1.2196687459945679,1.2196687459945679,link6
1763444119.498897,d4pg_demo,FAR,demo,1,8,-2.6984449556791423,0,0,0,-0.051,0.423,0.144,-1.3398875,-0.37184107,-2.5369234,-3.1387663,-0.75434023,1.0290474,0.0,0.0,0.0,1.3737326860427856,1.3737326860427856,link6
1763444120.8838992,d4pg_demo,FAR,demo,1,9,-2.6521800219244054,0,0,0,-0.108,0.41,0.125,-1.2248191,-0.42685562,-2.5414937,-3.1392975,-0.76366144,0.97591096,0.0,0.0,0.0,1.308853268623352,1.308853268623352,link6
1763444122.2621896,d4pg_demo,FAR,demo,1,10,-2.668807817013632,0,0,0,-0.021,0.421,0.142,-1.4314378,-0.33189023,-2.5191422,-3.137906,-0.5324794,0.8085529,0.0,0.0,0.0,1.2728201150894165,1.2728201150894165,link6
1763444123.6543033,d4pg_demo,FAR,demo,1,11,-2.6217677534284145,0,0,0,-0.012,0.417,0.13,-1.4482218,-0.381695,-2.53923,-3.1380308,-0.64046735,0.9488848,0.0,0.0,0.0,1.2723274230957031,1.2723274230957031,link6
1763444125.0429628,d4pg_demo,FAR,demo,1,12,-2.8424863609589988,0,0,0,-0.033,0.439,0.175,-1.4058096,-0.30872422,-2.5128725,-3.138064,-0.70604706,1.0146936,0.0,0.0,0.0,1.29328453540802,1.29328453540802,link6
1763444126.441466,d4pg_demo,FAR,demo,1,13,-2.7189685659154272,0,0,0,-0.063,0.424,0.147,-1.3289875,-0.35613567,-2.5262125,-3.1382945,-0.68379945,0.9295434,0.0,0.0,0.0,1.328834891319275,1.328834891319275,link6
1763444127.8318691,d4pg_demo,FAR,demo,1,14,-2.5974653031463824,0,0,0,-0.055,0.412,0.121,-1.3424957,-0.40846336,-2.542761,-3.138578,-0.661522,0.9096158,0.0,0.0,0.0,1.288295865058899,1.288295865058899,link6
1763444131.4802167,d4pg_demo,FAR,demo,2,0,-4.696866611259549,0,0,0,-0.09,0.611,0.481,-1.368349,-0.07329697,-2.0459425,-2.4378865,-0.27352688,0.32560453,0.0,0.0,0.0,1.1663661003112793,1.1663661003112793,link6
1763444132.85683,d4pg_demo,FAR,demo,2,1,-2.6415595466690354,0,0,0,0.075,0.39,0.19,-1.6426188,-0.18449832,-2.5641663,-3.0457237,-0.5085923,0.6315083,0.0,0.0,0.0,1.2170658111572266,1.2170658111572266,link6
1763444134.2462347,d4pg_demo,FAR,demo,2,2,-2.99621114677778,0,0,0,0.013,0.451,0.214,-1.5118859,-0.2770826,-2.5135367,-3.1372,-0.9385994,1.2378119,0.0,0.0,0.0,1.2559235095977783,1.2559235095977783,link6
