mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,dist_out,signed,closest_link
RANDOM,random,1,1,0.0,0,0,0,0.664,0.182,0.501,nan,nan,
RANDOM,random,1,2,0.0,0,0,0,0.194,0.016,0.775,nan,nan,
RANDOM,random,1,3,0.0,0,0,0,-0.401,0.175,0.466,nan,nan,
RANDOM,random,1,4,0.0,0,0,0,-0.361,-0.317,0.125,nan,nan,
RANDOM,random,1,5,0.0,0,0,0,-0.025,0.646,0.653,nan,nan,
RANDOM,random,1,6,0.0,0,0,0,0.273,-0.074,0.766,nan,nan,
RANDOM,random,1,7,0.0,0,0,0,0.255,0.408,0.428,nan,nan,
RANDOM,random,1,8,0.0,0,0,0,0.172,0.427,0.531,nan,nan,
RANDOM,random,1,9,0.0,0,0,0,-0.305,-0.087,0.431,nan,nan,
RANDOM,random,1,10,0.0,0,0,0,0.076,-0.114,0.351,nan,nan,
RANDOM,random,1,11,0.0,0,0,0,-0.275,0.318,0.236,nan,nan,
RANDOM,random,1,12,0.0,0,0,0,0.382,-0.001,0.129,nan,nan,
RANDOM,random,1,13,0.0,0,0,0,-0.073,0.552,0.809,nan,nan,
RANDOM,random,1,14,0.0,0,0,0,-0.067,-0.206,0.87,nan,nan,
RANDOM,random,1,15,0.0,0,0,0,0.301,-0.521,0.33,nan,nan,
RANDOM,random,1,16,0.0,0,0,0,0.083,0.341,0.777,nan,nan,
RANDOM,random,1,17,0.0,0,0,0,0.369,-0.108,0.643,nan,nan,
RANDOM,random,1,18,0.0,0,0,0,0.089,-0.003,0.968,nan,nan,
RANDOM,random,1,19,0.0,0,0,0,-0.371,0.181,0.631,nan,nan,
RANDOM,random,1,20,0.0,0,0,0,-0.071,-0.073,0.83,nan,nan,
RANDOM,random,1,21,0.0,0,0,0,0.024,-0.457,0.568,nan,nan,
RANDOM,random,1,22,0.0,0,0,0,0.056,0.031,0.652,nan,nan,
RANDOM,random,1,23,0.0,0,0,0,-0.048,0.46,0.428,nan,nan,
RANDOM,random,1,24,0.0,0,0,0,-0.297,0.005,0.462,nan,nan,
RANDOM,random,1,25,0.0,0,0,0,-0.221,0.012,0.346,nan,nan,
RANDOM,random,1,26,0.0,0,0,0,-0.236,0.268,0.765,nan,nan,
RANDOM,random,1,27,0.0,0,0,0,-0.113,0.216,0.934,nan,nan,
RANDOM,random,1,28,0.0,0,0,0,0.27,0.13,0.226,nan,nan,
RANDOM,random,1,29,0.0,0,0,0,0.149,-0.082,0.391,nan,nan,
RANDOM,random,1,30,0.0,0,0,0,0.107,0.467,0.613,nan,nan,
RANDOM,random,1,31,0.0,0,0,0,0.266,-0.292,0.654,nan,nan,
RANDOM,random,1,32,0.0,0,0,0,-0.186,-0.164,0.775,nan,nan,
RANDOM,random,1,33,0.0,0,0,0,-0.025,0.041,0.648,nan,nan,
RANDOM,random,1,34,0.0,0,0,0,-0.186,0.283,0.944,nan,nan,
RANDOM,random,1,35,0.0,0,0,0,-0.059,0.145,0.832,nan,nan,
RANDOM,random,2,1,0.0,0,0,0,-0.128,0.018,1.025,nan,nan,
