ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1763443939.4807525,d4pg_demo,FAR,demo,1,0,-7.952973693332115,0,0,0,-0.41,0.177,1.248,-0.36991173,-0.087215595,-0.7348372,-0.6820739,-0.21272425,0.15864643,0.0,0.0,0.0,1.2880570888519287,1.2880570888519287,link6
1763443940.8683271,d4pg_demo,FAR,demo,1,1,-2.914241502477127,0,0,0,0.08,0.424,0.223,-1.6031137,-0.15830755,-2.5083466,-2.698486,-0.5907723,0.49864778,0.0,0.0,0.0,1.177813172340393,1.177813172340393,link6
1763443942.2482107,d4pg_demo,FAR,demo,1,2,-2.788067418134678,0,0,0,0.074,0.418,0.189,-1.619421,-0.26320368,-2.5483212,-2.9710093,-0.755806,0.8847347,0.0,0.0,0.0,1.2044011354446411,1.2044011354446411,link6
1763443943.630316,d4pg_demo,FAR,demo,1,3,-2.7454283093077807,0,0,0,0.043,0.425,0.164,-1.5774063,-0.34720486,-2.550031,-3.1369143,-0.8469714,1.1082951,0.0,0.0,0.0,1.3091994524002075,1.3091994524002075,link6
1763443945.004354,d4pg_demo,FAR,demo,1,4,-2.7426945845485626,0,0,0,-0.116,0.417,0.147,-1.203735,-0.36100268,-2.51971,-3.1389608,-0.69507104,0.88889533,0.0,0.0,0.0,1.3739798069000244,1.3739798069000244,link6
1763443946.3921444,d4pg_demo,FAR,demo,1,5,-2.5984102067282913,0,0,0,-0.065,0.411,0.12,-1.3218594,-0.40304038,-2.5357952,-3.138529,-0.6238697,0.86059964,0.0,0.0,0.0,1.2695947885513306,1.2695947885513306,link6
1763443947.7651827,d4pg_demo,FAR,demo,1,6,-2.585599418026392,0,0,0,-0.009,0.412,0.126,-1.4541953,-0.3810218,-2.5410426,-3.1381886,-0.5743222,0.8601859,0.0,0.0,0.0,1.2586737871170044,1.2586737871170044,link6
1763443949.1451392,d4pg_demo,FAR,demo,1,7,-2.7916983670767235,0,0,0,-0.006,0.435,0.165,-1.4652865,-0.3275864,-2.5236483,-3.137971,-0.72110486,1.0655077,0.0,0.0,0.0,1.2716635465621948,1.2716635465621948,link6
1763443950.539434,d4pg_demo,FAR,demo,1,8,-2.6348819413279156,0,0,0,-0.035,0.418,0.13,-1.3871412,-0.39893317,-2.5443854,-3.1387334,-0.72271335,1.0212903,0.0,0.0,0.0,1.342736005783081,1.342736005783081,link6
1763443951.9278073,d4pg_demo,FAR,demo,1,9,-2.7875841947595834,0,0,0,-0.046,0.433,0.162,-1.3753195,-0.31996253,-2.5134268,-3.13822,-0.63799566,0.9128591,0.0,0.0,0.0,1.302191138267517,1.302191138267517,link6
1763443953.3067174,d4pg_demo,FAR,demo,1,10,-2.6742150734088685,0,0,0,-0.039,0.422,0.138,-1.3863987,-0.36530638,-2.5309243,-3.1381295,-0.6697208,0.9487513,0.0,0.0,0.0,1.2970448732376099,1.2970448732376099,link6
1763443954.694032,d4pg_demo,FAR,demo,1,11,-2.6089773255443047,0,0,0,-0.035,0.415,0.125,-1.3923527,-0.40019438,-2.545256,-3.1385098,-0.679817,0.9630067,0.0,0.0,0.0,1.2938926219940186,1.2938926219940186,link6
1763443956.0795417,d4pg_demo,FAR,demo,1,12,-2.7870499159063584,0,0,0,-0.029,0.434,0.163,-1.4142156,-0.32198972,-2.5167408,-3.1380978,-0.6568387,0.95793474,0.0,0.0,0.0,1.2877110242843628,1.2877110242843628,link6
