ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1763444046.5942383,d4pg_demo,FAR,demo,1,0,-6.431051086464504,0,0,0,-0.591,0.439,0.779,-0.55176514,-0.19701792,-1.373935,-1.2375551,-0.45600972,0.32429916,0.0,0.0,0.0,1.3729642629623413,1.3729642629623413,link6
1763444047.978514,d4pg_demo,FAR,demo,1,1,-2.578469488473578,0,0,0,-0.079,0.405,0.12,-1.1393149,-0.42496765,-2.5355859,-2.376437,-0.7533198,0.5588267,0.0,0.0,0.0,1.0794466733932495,1.0794466733932495,link6
1763444049.3664954,d4pg_demo,FAR,demo,1,2,-2.680777007404263,0,0,0,0.173,0.371,0.179,-1.9092866,-0.21958967,-2.5288444,-3.1149209,-0.4186601,0.75428486,0.0,0.0,0.0,1.0759663581848145,1.0759663581848145,link6
1763444050.7585962,d4pg_demo,FAR,demo,1,3,-2.66128594655208,0,0,0,0.098,0.405,0.152,-1.68118,-0.33457902,-2.549703,-3.1358216,-0.7288728,1.0654267,0.0,0.0,0.0,1.309158444404602,1.309158444404602,link6
1763444052.151909,d4pg_demo,FAR,demo,1,4,-2.8624333882891437,0,0,0,-0.116,0.43,0.171,-1.2178652,-0.33947295,-2.5130928,-3.1389418,-0.8052017,1.0452888,0.0,0.0,0.0,1.3676221370697021,1.3676221370697021,link6
1763444053.5298975,d4pg_demo,FAR,demo,1,5,-2.6476013356947754,0,0,0,-0.073,0.415,0.131,-1.3059446,-0.37531018,-2.527258,-3.1384,-0.60062635,0.8090327,0.0,0.0,0.0,1.3124616146087646,1.3124616146087646,link6
1763444054.9108403,d4pg_demo,FAR,demo,1,6,-2.531512968632246,0,0,0,-0.038,0.405,0.112,-1.3847778,-0.40792796,-2.5430424,-3.13833,-0.5649101,0.8038584,0.0,0.0,0.0,1.2548096179962158,1.2548096179962158,link6
1763444056.2925756,d4pg_demo,FAR,demo,1,7,-2.8383677486035515,0,0,0,0.016,0.438,0.178,-1.5165917,-0.2938059,-2.5147882,-3.1375535,-0.6969698,1.0660532,0.0,0.0,0.0,1.2484050989151,1.2484050989151,link6
1763444057.6688514,d4pg_demo,FAR,demo,1,8,-2.703996701365842,0,0,0,-0.061,0.423,0.143,-1.3357674,-0.37441242,-2.5347662,-3.1386447,-0.7305256,0.99710727,0.0,0.0,0.0,1.3581740856170654,1.3581740856170654,link6
1763444061.4180639,d4pg_demo,FAR,demo,2,0,-3.5489443969797323,0,0,0,0.04,0.507,0.302,-1.5493102,-0.1076361,-2.3450432,-2.6394048,-0.36714274,0.39154774,0.0,0.0,0.0,1.1686530113220215,1.1686530113220215,link6
1763444062.7980137,d4pg_demo,FAR,demo,2,1,-2.7777689814701634,0,0,0,0.076,0.412,0.197,-1.6321594,-0.22418582,-2.5519173,-3.0044603,-0.6955671,0.8531334,0.0,0.0,0.0,1.208659052848816,1.208659052848816,link6
1763444064.187166,d4pg_demo,FAR,demo,2,2,-2.8237931763430617,0,0,0,0.047,0.428,0.19,-1.5846351,-0.30191877,-2.5514681,-3.1348045,-0.90140116,1.1515695,0.0,0.0,0.0,1.3063452243804932,1.3063452243804932,link6
1763444065.5684822,d4pg_demo,FAR,demo,2,3,-2.731935390500844,0,0,0,-0.137,0.41,0.143,-1.1470467,-0.37151372,-2.5215583,-3.139109,-0.707637,0.8519825,0.0,0.0,0.0,1.3988573551177979,1.3988573551177979,link6
1763444066.9442017,d4pg_demo,FAR,demo,2,4,-2.5693838319267654,0,0,0,-0.093,0.403,0.111,-1.2647022,-0.4213706,-2.5377777,-3.1387553,-0.6219668,0.81851137,0.0,0.0,0.0,1.257002830505371,1.257002830505371,link6
