ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1762537353.5304866,ddpg_demo,FAR,demo,1,0,-6.192394072465978,0,0,0,0.237,0.117,1.317,0.2673732,-0.051500324,0.52073354,0.53067315,0.599223,0.20516008,0.5631678,-0.27170134,0.45573282,0.32461005449295044,0.32461005449295044,link6
1762537354.9239244,ddpg_demo,FAR,demo,1,1,-4.7750629977275505,0,0,0,-0.112,0.125,0.476,1.6807437,-0.3446288,2.5285993,1.33455,2.6262593,-0.76009274,0.5631678,-0.27170134,0.45573282,0.42000487446784973,0.42000487446784973,link6
1762537356.3030083,ddpg_demo,FAR,demo,1,2,-5.225408188887615,0,0,0,0.03,0.154,0.489,0.65695715,-0.39769775,2.5920231,1.9925368,2.6537743,-1.5642644,0.5631678,-0.27170134,0.45573282,0.14899344742298126,0.14899344742298126,link6
1762537357.6805604,ddpg_demo,FAR,demo,1,3,-7.280289019394888,0,0,0,0.164,0.015,0.524,-0.30795613,-0.3984625,2.5976064,2.737132,2.4987106,-2.1578846,0.5631678,-0.27170134,0.45573282,0.015007466077804565,0.015007466077804565,link6
1762537359.1772122,ddpg_demo,NEAR,demo,1,4,-4.598852210780207,0,0,0,0.437,0.26,0.892,0.25736156,-0.10019234,1.3743225,1.5003172,1.0914348,-1.2114711,0.5631678,-0.27170134,0.45573282,0.2517416179180145,0.2517416179180145,link6
1762537360.550654,ddpg_demo,FAR,demo,1,5,-5.187116669706549,0,0,0,0.441,0.456,0.857,0.61587447,0.053986426,1.3461695,1.2983614,0.9092774,-0.9481579,0.5631678,-0.27170134,0.45573282,0.35232895612716675,0.35232895612716675,link6
1762537361.9301555,ddpg_demo,FAR,demo,1,6,-4.879485670446212,0,0,0,-0.024,0.265,0.458,1.1997514,-0.12945704,2.5230026,1.9214109,2.3890035,-1.3891016,0.5631678,-0.27170134,0.45573282,0.38491564989089966,0.38491564989089966,link6
1762537363.305456,ddpg_demo,FAR,demo,1,7,-58.4925580894352,1,0,0,0.224,0.201,0.437,0.32757714,-0.08920753,2.5779858,2.280319,2.1406214,-1.6936953,0.5631678,-0.27170134,0.45573282,0.0,-0.04041753709316254,link6
1762537366.941834,ddpg_demo,FAR,demo,2,0,-2.6202073996422195,0,0,0,-0.181,0.132,0.516,2.0246644,-0.2901685,2.364954,1.2568892,2.5352626,-1.3677688,0.1822493,0.049145896,0.7371916,0.5498483180999756,0.5498483180999756,link6
1762537368.3321493,ddpg_demo,FAR,demo,2,1,-1.8440888481619377,0,0,0,0.077,0.109,0.494,0.26103005,-0.40768984,2.5850453,2.2039373,2.888393,-1.9915336,0.1822493,0.049145896,0.7371916,0.31507670879364014,0.31507670879364014,link6
1762537369.7071054,ddpg_demo,FAR,demo,2,2,-2.1739715549489986,0,0,0,0.104,-0.068,0.51,-0.9694587,-0.42614195,2.6054149,2.8334963,2.7924519,-2.4319613,0.1822493,0.049145896,0.7371916,0.21715091168880463,0.21715091168880463,link6
1762537371.0867863,ddpg_demo,FAR,demo,2,3,-3.0407130936559508,0,0,0,-0.176,0.242,0.438,2.0133631,0.05042035,2.5329683,2.8001542,2.6378899,-2.6391575,0.1822493,0.049145896,0.7371916,0.6160188913345337,0.6160188913345337,link6
1762537372.4602187,ddpg_demo,FAR,demo,2,4,-2.032166220879707,0,0,0,0.171,0.18,0.439,0.37811348,-0.014115764,2.5685594,2.7563136,2.8436813,-2.7032304,0.1822493,0.049145896,0.7371916,0.417125940322876,0.417125940322876,link6
1762537373.834088,ddpg_demo,FAR,demo,2,5,-2.7269482107538607,0,0,0,0.208,0.302,0.402,0.7624948,0.1527324,2.5135524,2.7179873,2.2997484,-2.641067,0.1822493,0.049145896,0.7371916,0.3203936219215393,0.3203936219215393,link6
1762537375.210768,ddpg_demo,FAR,demo,2,6,-3.4389026481746137,0,0,0,0.301,0.225,0.383,0.41323376,0.15879148,2.5352836,2.7298062,2.151347,-2.6053374,0.1822493,0.049145896,0.7371916,0.16486331820487976,0.16486331820487976,link6
1762537376.5847673,ddpg_demo,FAR,demo,2,7,-2.611079153590306,0,0,0,0.269,0.231,0.381,0.53746337,0.16152476,2.5673692,2.7762885,2.2964983,-2.5324147,0.1822493,0.049145896,0.7371916,0.3469262421131134,0.3469262421131134,link6
1762537377.961937,ddpg_demo,FAR,demo,2,8,-2.5849292695015316,0,0,0,0.201,0.287,0.425,0.74691623,0.084621206,2.5151033,2.7594767,2.3085434,-2.5381658,0.1822493,0.049145896,0.7371916,0.30905646085739136,0.30905646085739136,link6
1762537379.3354506,ddpg_demo,FAR,demo,2,9,-3.835901858375535,0,0,0,0.313,0.213,0.379,0.36603615,0.14789355,2.5468755,2.6827757,2.0627255,-2.5956483,0.1822493,0.049145896,0.7371916,0.13124819099903107,0.13124819099903107,link6
1762537380.7102242,ddpg_demo,FAR,demo,2,10,-2.648306073776227,0,0,0,0.298,0.214,0.37,0.4005547,0.16914369,2.5698721,2.70652,2.1481082,-2.553126,0.1822493,0.049145896,0.7371916,0.36087775230407715,0.36087775230407715,link6
1762537382.0863762,ddpg_demo,FAR,demo,2,11,-2.3923254568226566,0,0,0,0.112,0.277,0.445,0.9978599,0.037593633,2.5207403,2.8512757,2.6350558,-2.4098945,0.1822493,0.049145896,0.7371916,0.36532455682754517,0.36532455682754517,link6
1762537383.462319,ddpg_demo,FAR,demo,2,12,-57.50652218399152,1,0,0,0.33,0.18,0.369,0.18105711,0.14930363,2.5597694,2.6071954,1.9589075,-2.5967896,0.1822493,0.049145896,0.7371916,0.0,-0.03406788408756256,link6
1762537387.0977287,ddpg_demo,FAR,demo,3,0,-6.197835902424581,0,0,0,-0.248,0.051,0.526,2.4589982,-0.2664917,2.4115455,1.8296336,2.418075,-0.44850725,0.75674796,0.15097377,0.74084085,0.7141257524490356,0.7141257524490356,link6
