ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1762537498.5659826,ddpg_demo,FAR,demo,1,0,-3.960687788548317,0,0,0,0.059,0.232,0.551,1.0309972,-0.23745823,2.4155517,2.5024445,2.747498,0.28508708,0.25990957,-0.20951477,0.17767517,0.28540122509002686,0.28540122509002686,link6
1762537499.943701,ddpg_demo,FAR,demo,1,1,-4.542992145454086,0,0,0,0.28,0.183,0.308,0.3279347,-0.26002496,2.575361,1.8866513,-0.03461672,-1.7124009,0.25990957,-0.20951477,0.17767517,0.08874325454235077,0.08874325454235077,link6
1762537501.3770704,ddpg_demo,MID,demo,1,2,-2.684703285270637,0,0,0,0.231,-0.12,0.347,-0.17002635,-0.26637343,2.6027093,1.6609093,-1.1741366,-2.9700236,0.25990957,-0.20951477,0.17767517,0.11890806257724762,0.11890806257724762,link6
1762537502.8131773,ddpg_demo,MID,demo,1,3,-3.3361648526683205,0,0,0,0.167,-0.08,0.478,-0.6620781,-0.19456685,2.53936,3.085443,3.0460126,-1.7331913,0.25990957,-0.20951477,0.17767517,0.13500367105007172,0.13500367105007172,link6
1762537504.1866307,ddpg_demo,FAR,demo,1,4,-2.625926873110232,0,0,0,0.324,0.15,0.411,0.36871716,-0.013482442,2.5887666,3.0110395,1.6871647,-2.095976,0.25990957,-0.20951477,0.17767517,0.5267574191093445,0.5267574191093445,link6
1762537507.8168707,ddpg_demo,FAR,demo,2,0,-3.087055733113278,0,0,0,0.07,0.408,0.514,1.1310902,-0.010505942,2.0546477,0.9486845,2.1029046,-0.6283357,0.53306675,0.38806474,0.6956789,0.39113107323646545,0.39113107323646545,link6
1762537509.1974208,ddpg_demo,FAR,demo,2,1,-4.260298928340741,0,0,0,-0.075,0.198,0.425,1.4811536,-0.099585645,2.5810242,1.4774156,2.684469,-0.6904421,0.53306675,0.38806474,0.6956789,0.38432785868644714,0.38432785868644714,link6
1762537510.5725896,ddpg_demo,FAR,demo,2,2,-3.715383862076699,0,0,0,0.057,0.156,0.532,0.7052755,-0.4053648,2.5147922,2.2562635,2.67899,-1.3774836,0.53306675,0.38806474,0.6956789,0.25526127219200134,0.25526127219200134,link6
1762537511.9478893,ddpg_demo,FAR,demo,2,3,-3.492249711391964,0,0,0,0.181,0.298,0.362,0.57589567,-0.12683704,2.5661712,1.9380217,1.3346972,-1.3333784,0.53306675,0.38806474,0.6956789,0.22403830289840698,0.22403830289840698,link6
1762537513.321567,ddpg_demo,FAR,demo,2,4,-3.5243245242911643,0,0,0,0.123,0.335,0.289,0.8163364,-0.0010462824,2.5886664,1.8577131,1.1796514,-1.4133441,0.53306675,0.38806474,0.6956789,0.47208040952682495,0.47208040952682495,link6
1762537516.9591002,ddpg_demo,FAR,demo,3,0,-6.551650235037347,0,0,0,-0.117,0.415,0.636,1.6218942,-0.11938527,1.8885434,1.0007576,1.9714034,-0.016364321,0.9222291,0.11703547,0.5366334,0.48875075578689575,0.48875075578689575,link6
1762537518.3357837,ddpg_demo,FAR,demo,3,1,-6.566133794034339,0,0,0,-0.144,0.112,0.45,1.9269558,-0.22929311,2.5955265,1.5694697,2.6879466,-0.40277293,0.9222291,0.11703547,0.5366334,0.3522651791572571,0.3522651791572571,link6
1762537519.7174094,ddpg_demo,FAR,demo,3,2,-5.589212722464511,0,0,0,0.086,0.132,0.55,0.4711705,-0.46160302,2.5183952,2.4792676,2.594019,-1.8358469,0.9222291,0.11703547,0.5366334,0.21708661317825317,0.21708661317825317,link6
1762537521.0998023,ddpg_demo,FAR,demo,3,3,-5.31556688634573,0,0,0,0.205,0.308,0.318,0.75421005,-0.10948561,2.5795796,2.3951643,0.54292125,-1.6435385,0.9222291,0.11703547,0.5366334,0.20053286850452423,0.20053286850452423,link6
