ts,run_tag,mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,j1,j2,j3,j4,j5,j6,sphere_x,sphere_y,sphere_z,dist_out,signed,closest_link
1762619512.0469694,ddpg_demo,FAR,demo,1,0,-5.749458443381606,0,0,0,-0.144,0.064,0.463,2.3558407,-0.25687206,2.5092018,0.5152166,2.855842,-0.111520305,0.5806369,0.38357484,0.9987268,0.598857045173645,0.598857045173645,link6
1762619513.4210818,ddpg_demo,FAR,demo,1,1,-5.147243735470688,0,0,0,-0.046,0.096,0.502,1.4178833,-0.4804532,2.5573437,2.1570778,3.0292292,-1.9165196,0.5806369,0.38357484,0.9987268,0.4633193016052246,0.4633193016052246,link6
1762619514.798606,ddpg_demo,FAR,demo,1,2,-5.3236187854434,0,0,0,0.033,0.085,0.499,0.5790421,-0.48569432,2.6156116,2.7211232,2.9514027,-2.2660513,0.5806369,0.38357484,0.9987268,0.22477255761623383,0.22477255761623383,link6
1762619516.126747,ddpg_demo,FAR,demo,1,3,-5.332702725395918,0,0,0,0.363,0.192,0.263,0.22530305,0.07880609,2.5196273,2.1378186,0.7605904,-2.0701084,0.5806369,0.38357484,0.9987268,0.21406057476997375,0.21406057476997375,link6
1762619517.515179,ddpg_demo,FAR,demo,1,4,-4.952104295810424,0,0,0,-0.025,0.336,0.443,1.4025737,-0.09468439,2.5555785,2.6163645,2.021365,-1.5500458,0.5806369,0.38357484,0.9987268,0.6027824878692627,0.6027824878692627,link6
1762619521.1433935,ddpg_demo,FAR,demo,2,0,-2.036201076634726,0,0,0,-0.095,0.157,0.456,1.6016741,-0.26571995,2.465436,0.84754,2.5579467,-1.7977252,0.18059947,0.22427158,0.2751743,0.5644722580909729,0.5644722580909729,link6
1762619522.5196824,ddpg_demo,FAR,demo,2,1,-1.7763675810517516,0,0,0,0.097,0.114,0.499,0.34014755,-0.36404166,2.5659683,2.3494601,2.8778036,-2.328303,0.18059947,0.22427158,0.2751743,0.3231544494628906,0.3231544494628906,link6
1762619523.8935454,ddpg_demo,FAR,demo,2,2,-2.3777610206397375,0,0,0,0.161,0.021,0.496,-0.12889272,-0.29685053,2.6063702,3.007021,2.7448459,-2.6183062,0.18059947,0.22427158,0.2751743,0.21661461889743805,0.21661461889743805,link6
1762619525.2735603,ddpg_demo,FAR,demo,2,3,-1.0894827126848667,0,0,0,0.198,0.26,0.431,0.75499463,0.076378234,2.5215237,2.8853197,2.5068088,-2.7711337,0.18059947,0.22427158,0.2751743,0.3692065477371216,0.3692065477371216,link6
1762619526.6481845,ddpg_demo,FAR,demo,2,4,-2.0865265626961778,0,0,0,0.289,0.227,0.382,0.4528963,0.15239829,2.559606,2.875513,2.1029348,-2.8255997,0.18059947,0.22427158,0.2751743,0.1449679136276245,0.1449679136276245,link6
1762619530.2860382,ddpg_demo,FAR,demo,3,0,-7.061162392095865,0,0,0,-0.265,0.043,0.483,2.4420962,-0.23671672,2.3812659,1.382932,2.1958816,-0.24065202,0.8247915,0.3313613,0.81772745,0.6810828447341919,0.6810828447341919,link6
1762619531.6641054,ddpg_demo,FAR,demo,3,1,-5.820974578977766,0,0,0,-0.053,0.142,0.496,1.2492774,-0.41072768,2.582965,2.0280685,2.7174773,-1.5395185,0.8247915,0.3313613,0.81772745,0.39352530241012573,0.39352530241012573,link6
1762619533.0397587,ddpg_demo,FAR,demo,3,2,-5.775703271055333,0,0,0,0.059,0.068,0.504,0.20122504,-0.5199464,2.6094127,2.4721415,2.9227862,-2.3062294,0.8247915,0.3313613,0.81772745,0.21804550290107727,0.21804550290107727,link6
1762619534.4137607,ddpg_demo,FAR,demo,3,3,-5.347251737051569,0,0,0,0.121,0.386,0.279,1.1118296,0.01506007,2.5367377,2.4729335,0.5725579,-1.6619097,0.8247915,0.3313613,0.81772745,0.5558027625083923,0.5558027625083923,link6
1762619535.7891943,ddpg_demo,FAR,demo,3,4,-5.375758572482868,0,0,0,0.128,0.37,0.307,0.89482266,0.013519383,2.5743916,2.3169534,1.1948982,-2.0162582,0.8247915,0.3313613,0.81772745,0.32858383655548096,0.32858383655548096,link6
1762619539.429986,ddpg_demo,FAR,demo,4,0,-4.411833764403839,0,0,0,-0.126,0.252,0.578,1.6283802,-0.23180005,2.2023308,1.5008526,2.5038679,-1.6079819,0.25682572,-0.25568417,0.94249105,0.5850473642349243,0.5850473642349243,link6
1762619540.810392,ddpg_demo,FAR,demo,4,1,-3.835051221852573,0,0,0,0.1,0.124,0.48,0.38388276,-0.29760298,2.5939589,2.2190914,2.8751857,-2.0888684,0.25682572,-0.25568417,0.94249105,0.3700811266899109,0.3700811266899109,link6
1762619542.2058291,ddpg_demo,FAR,demo,4,2,-6.094688378041517,0,0,0,0.414,0.097,0.355,0.008180192,0.078212276,2.513594,2.6423168,1.4181583,-2.7385519,0.25682572,-0.25568417,0.94249105,0.0979989618062973,0.0979989618062973,link6
1762619543.6385295,ddpg_demo,MID,demo,4,3,-4.028400077581629,0,0,0,0.223,0.168,0.459,0.48176995,-0.04143487,2.5421672,2.9467273,2.6604028,-2.2349555,0.25682572,-0.25568417,0.94249105,0.34058624505996704,0.34058624505996704,link6
1762619545.0133934,ddpg_demo,FAR,demo,4,4,-7.4514800165990405,0,0,0,0.217,0.161,0.448,0.41381866,-0.025108764,2.5855997,2.893164,2.5226545,-2.286618,0.25682572,-0.25568417,0.94249105,0.033847834914922714,0.033847834914922714,link6
1762619548.647512,ddpg_demo,FAR,demo,5,0,-3.0871520628845768,0,0,0,-0.071,0.375,0.805,1.4508524,-0.21988784,1.8229287,1.9380814,2.114009,-1.2227943,0.16234821,0.20401695,0.38252434,0.5810046195983887,0.5810046195983887,link6
1762619550.0237558,ddpg_demo,FAR,demo,5,1,-1.6262218124705514,0,0,0,-0.022,0.165,0.485,1.1774931,-0.27769014,2.6029468,2.5567029,2.8205135,-1.9089541,0.16234821,0.20401695,0.38252434,0.2690439820289612,0.2690439820289612,link6
1762619551.404201,ddpg_demo,FAR,demo,5,2,-3.7155415694414984,0,0,0,0.227,-0.326,0.396,-1.2400271,-0.010101619,2.5231297,2.5412123,1.5519264,-2.8347304,0.16234821,0.20401695,0.38252434,0.22811205685138702,0.22811205685138702,link6
1762619552.7787924,ddpg_demo,FAR,demo,5,3,-0.48473291160540943,0,0,0,0.185,0.237,0.451,0.89904463,-0.04899734,2.5659745,2.87801,2.4383957,-1.609083,0.16234821,0.20401695,0.38252434,0.6333436965942383,0.6333436965942383,link6
1762619554.1620748,ddpg_demo,FAR,demo,5,4,-4.4427999926131045,0,0,0,-0.155,0.158,0.464,2.0394135,-0.10303181,2.5833023,2.9695413,2.7252712,-1.0158876,0.16234821,0.20401695,0.38252434,0.07102267444133759,0.07102267444133759,link6
1762619557.7958562,ddpg_demo,FAR,demo,6,0,-5.918383272711377,0,0,0,-0.136,0.367,0.808,1.6306064,-0.20008184,1.8241751,2.1220908,2.042194,-0.5872153,0.61210763,0.2884712,0.17078842,0.730108380317688,0.730108380317688,link6
1762619559.1694906,ddpg_demo,FAR,demo,6,1,-5.826563688812417,0,0,0,-0.166,0.32,0.75,1.5135531,-0.2775534,2.5994754,2.6445346,2.6590369,-1.2654582,0.61210763,0.2884712,0.17078842,0.730108380317688,0.730108380317688,link6
1762619560.5507605,ddpg_demo,FAR,demo,6,2,-5.826563688812417,0,0,0,-0.166,0.32,0.75,-0.8175346,-0.15884434,2.5243123,2.2697139,1.972174,-2.6777182,0.61210763,0.2884712,0.17078842,0.730108380317688,0.730108380317688,link6
1762619561.92523,ddpg_demo,FAR,demo,6,3,-5.826563688812417,0,0,0,-0.166,0.32,0.75,0.96306443,-0.11904383,2.576499,2.740655,2.5953166,-1.8063205,0.61210763,0.2884712,0.17078842,0.730108380317688,0.730108380317688,link6
